"term","estimate","std.error","statistic","p.value","conf.low","conf.high","OR","CI_low","CI_high","gene","bonferroni_corrected"
"splA1",-1.31328872234986,0.388352025597049,-3.38169659429695,0.000720396640002705,-2.07132513704357,-0.535214941441407,0.268934150682228,0.126018678992779,0.585543419071322,"19",0.0886087867203327
"(Intercept)",-1.34373474670109,0.264666411126807,-5.07708832783196,3.83262729648375e-07,-1.89219645870536,-0.848213166950478,0.260869565217393,0.150740349997801,0.428179333800858,"39",4.71413157467501e-05
"blaR11",-1.47304528752763,0.387411202846326,-3.80227850073799,0.000143371429349731,-2.25678602036198,-0.723293819463038,0.229226361031728,0.104686404618624,0.485151619456589,"35",0.017634685810017
"mecA1",-1.52971261445089,0.441712653138576,-3.46313967594444,0.000533911161171691,-2.47094646314185,-0.712627263244467,0.216597905480408,0.084504840423452,0.490354214036649,"123",0.065671072824118
"(Intercept)",-1.6376087894008,0.238491733354234,-6.86652223273685,6.57859274794738e-12,-2.13220211242154,-1.19240886561409,0.194444444444444,0.118575888698879,0.30348931785858,"20",8.09166907997528e-10
"(Intercept)",-1.66500776358894,0.206085036989692,-8.07922684688757,6.51786820997022e-16,-2.08912806667552,-1.27811752575159,0.189189189189184,0.12379502978432,0.278561191462352,"15",8.01697789826337e-14
"(Intercept)",-1.78058616862996,0.197360864563933,-9.02198200521744,1.84716569072122e-19,-2.18662587581481,-1.4101668681366,0.168539325842691,0.112295007412777,0.244102546817606,"10",2.2720137995871e-17
"(Intercept)",-1.81707727721235,0.299036915652696,-6.07643131031596,1.22886607185616e-09,-2.44975426624072,-1.26766108969072,0.162499999999998,0.0863147943524189,0.281489230497848,"19",1.51150526838308e-07
"blaPC11",-1.86482848024875,0.738637770346211,-2.52468605738192,0.0115801687524726,-3.69657172913776,-0.645151491599652,0.154922779922874,0.0248084308702325,0.524583066158933,"66",1
"(Intercept)",-1.884541202679,0.309825049311869,-6.0825979270063,1.1825062673522e-09,-2.5430220449065,-1.31746136011782,0.151898734177219,0.078628421760157,0.267814323828676,"21",1.4544827088432e-07
"(Intercept)",-1.89711998488592,0.252762514801718,-7.50554324233611,6.11743721980341e-14,-2.42596807469638,-1.42914089179639,0.149999999999995,0.0883925070599423,0.239514602840344,"35",7.5244477803582e-12
"(Intercept)",-1.90423745265474,0.202567111472857,-9.40052626909228,5.4290836447775e-21,-2.32234459394042,-1.52520249186254,0.148936170212767,0.0980434438509568,0.217576994833352,"24",6.67777288307632e-19
"(Intercept)",-1.90954250488446,0.309320242378069,-6.17335124983676,6.6857451348023e-10,-2.56722039515342,-1.34366740648599,0.148148148148145,0.0767485799356254,0.260887132821523,"18",8.22346651580683e-08
"(Intercept)",-1.96944064646551,0.308157817204141,-6.39101309950167,1.64790262736342e-10,-2.62526866505236,-1.40633793856093,0.13953488372093,0.0724202976172842,0.245038989921885,"34",2.026920231657e-08
"lukD1",-2.05404459122506,0.413226906485949,-4.97074260892764,6.66969448320813e-07,-2.91241355540224,-1.27325088092985,0.128215275077222,0.0543444082168632,0.279920153954043,"20",8.203724214346e-05
"(Intercept)",-2.07047287169707,0.200546229629955,-10.3241675274448,5.47920221801014e-25,-2.48512014478274,-1.69594410848014,0.126126126126127,0.0833155439828077,0.183425973237646,"23",6.73941872815247e-23
"(Intercept)",-2.10151749337902,0.200202642193751,-10.4969518401522,8.92145338512235e-26,-2.51557611767306,-1.72775458916533,0.12227074235808,0.0808163390709782,0.177682933561996,"26",1.09733876637005e-23
"(Intercept)",-2.13162729485044,0.199878897960439,-10.6645939946714,1.49048585276314e-26,-2.54513115821815,-1.75858584675161,0.118644067796606,0.0784627602699861,0.172288333737406,"22",1.83329759889867e-24
"(Intercept)",-2.13750534263461,0.220468741543493,-9.69527619956469,3.15782110595484e-22,-2.59633006067264,-1.72803295359168,0.117948717948716,0.0745466585275996,0.177633479837521,"123",3.88411996032445e-20
